word,definition,part of speech,example,source
offset,cancel by being opposite but equal in amount,verb,"In order to offset his father’s vote to build a new high-speed cross-country train, Larry voted against building the train.",Magoosh
irrefutable,impossible to deny or disprove,adjective,"Though highly controversial centuries ago, the idea that the Earth goes around the Sun is now irrefutable.",Magoosh
despondent,"extremely sad, without hope",adjective,"Fariha was a very strong woman, and she never became despondent no matter how many misfortunes she went through.",Magoosh
forge,to create (something strong) through a large effort,verb,"Climate change cannot be fixed by any one government; if we are going to stop it, nations around the world must forge a partnership.",Magoosh
forgo,to decide not to use or have something good,verb,Terry had to forgo his summer backpacking trip across Europe in order to save money to fix his car instead.,Magoosh
seasoned,experienced at doing something,adjective,"Given the managers’ extensive experience, the boss requested that each of her seasoned managers work closely with new hires.",Magoosh
dwell,to live somewhere,verb,Creatures that dwell deep in the darkest caves have lost all color in their skin and become blind from the darkness.,Magoosh
convene,to come together for a formal discussion or meeting,verb,"In response to the school's poor performance on tests, the principal and his best teachers convened to improve the curriculum.",Magoosh
swivel,to spin or turn around,verb,"Lily's chair squeaked when it rotated, which drove her coworkers crazy due to her habit of swiveling while thinking.",Magoosh
apt,perfectly appropriate,adjective,"The lion is sometimes called ""king of the beasts,"" an apt description given the animal's appearance and power.",Magoosh
rife,many in number or very common (used for bad things),adjective,Never believe anything you hear in a politician's speech; they are rife with inaccuracies and even lies.,Magoosh
lull,a short period of calm or inactivity,noun,"Once Mark and Petra finally got their screaming baby to sleep, they sat quietly, afraid that even a whisper would break the first lull in three days.",Magoosh
profuse,produced or growing in very large numbers,adjective,"The presidential candidate’s campaign became one of the most popular in history, with a profuse number of supporters attending each of his speeches.",Magoosh
flourish,to grow stronger or healthier,verb,A good gardener knows plants flourish only with the right amount of sun and water.,Magoosh
plague,a serious disease that kills many people,noun,"Sarah wept as she told her children the story of the plague that had killed her village, leaving only two survivors to continue their traditions.",Magoosh
beckon,to invite or attract to come to,verb,"Julie was supposed to spend all day in the library, but the sun beckoned as she passed a window and she couldn't resist going outside.",Magoosh
inept,"unable to do well, bad at",adjective,"In spite of his strong resume, it quickly became clear that the new analyst was inept, incapable of performing the most basic analyses.",Magoosh
overt,not secret or hidden,adjective,"The disagreement between the neighbors grew from quiet, angry looks to overt hatred as they began throwing eggs at each other's houses.",Magoosh
exacting,requiring and demanding accuracy,adjective,"Though his childhood piano teacher was so exacting, Max is thankful now, having become a professional pianist.",Magoosh
indigenous,originating in a certain area,adjective,"Many think the potato is indigenous to Europe, but it actually originated in what is now Peru.",Magoosh
trivial,unimportant and small,adjective,"Even though most would consider it a trivial problem, Mr. Sheldon spent an hour in the meeting questioning where his favorite pen had disappeared to.",Magoosh
celebrated,well known and respected,adjective,"Although the poet was not appreciated or recognized during his lifetime, he became widely celebrated for his creativity after his death.",Magoosh
strife,hate and conflict,noun,"Jan had fought loudly with her mother every day until she left for college, so the rest of the family enjoyed the break from the strife.",Magoosh
fastidious,giving careful attention to detail,adjective,The surgeon's fastidious attention to each and every tiny cut or stitch frustrated his staff but overjoyed his patients.,Magoosh
abolish,to officially end a bad system,verb,"The candidate for student president promised to abolish homework, grades and exams; unfortunately, she lost because nobody believed it was possible.",Magoosh
rebound,increase or improve after a low point,verb,"Even after his investors and customers had abandoned him, Charles still thought his xylophone business was going to make a rebound.",Magoosh
infinitesimal,extremely small,adjective,The introduction of the electron microscope made it possible to view infinitesimally small details on cells.,Magoosh
impetus,a cause or reason to start an action,noun,"Before John met Amanda, all his shirts were old and filled with holes, but his desire to impress her gave him the impetus to buy all new clothes.",Magoosh
hinder,to slow the progress of or make more difficult,verb,Batgirl's high heels once again hindered her ability to chase the bank robbers; she wondered why she couldn't wear comfortable boots as Batman did.,Magoosh
lavish,more than is needed; very fancy,adjective,Fido's birthday feast was lavish; most guests thought that a dog would not be able to appreciate the bits of gold in his steak-flavored ice cream.,Magoosh
drench,to cover completely with liquid,verb,We regretted not checking the weather before leaving home when we were quickly drenched by an unexpected summer storm.,Magoosh
thwart,to stop somebody's plan,verb,"Aeroman, the inexperienced town superhero, failed to thwart the villain’s plans to take over the city, which was soon renamed Villiantown.",Magoosh
elective,a class that students can select from among alternatives,noun,"While some classes are mandatory for all biology students, others such as parasitology and botany are electives.",Magoosh
pseudonym,a false name used publicly,noun,"To avoid public attention, the author decided that rather than using her real name, she would use a pseudonym when publishing her novels.",Magoosh
brittle,hard but easy to break,adjective,"Unaware that the tree was diseased, the boy had no idea that the thick branch he was climbing on was actually brittle and ready to snap.",Magoosh
marked,very noticeable,adjective,The fact that oil companies have shown a marked interest in the lawmaker's proposition should generate some suspicion.,Magoosh
accrete,to collect together slowly over time into a larger amount,verb,"Billy stored his favorite old toys in his parents' basement, where dust and spider webs slowly accreted on the forgotten plastic soldiers and trucks.",Magoosh
augment,to enlarge or increase; to improve,verb,"General Lee's army was augmented when Jackson joined to add his 17,000 men in support of Lee's goals.",Magoosh
jeopardy,a state of danger,noun,"Tony Stark, the arrogant billionaire, placed the lives of his loved ones in jeopardy when he publicly announced that he was the superhero, Ironman.",Magoosh
feeble,very weak,adjective,"After months of being sick in bed, Harry did not have all of his energy back and felt quite feeble when trying to do even simple things.",Magoosh
dwelling,housing that someone is living in,noun,"Expecting her lazy boyfriend’s dwelling to be messy, Jane was shocked to find that the apartment was neat and clean.",Magoosh
bleak,cold-feeling and dark; hopeless,adjective,Veronica bought two plane tickets to the sunny Caribbean because she didn't want to suffer through another winter in her bleak hometown.,Magoosh
lure,to persuade somebody or an animal come somewhere by promising a reward,verb,"In order to lure the mouse into the trap, Gary placed a small amount of peanut butter inside.",Magoosh
hoist,lift up,verb,"With his face red and his teeth clenched tight, the bodybuilder successfully hoisted the weights over his chest.",Magoosh
prolific,producing many things,adjective,"Schubert was the most prolific composer, producing hundreds of hours of music before he died at the age of 31.",Magoosh
wares,objects for sale,noun,"The store owner was tired of shouting out onto the street all of the different items in her store, so she made wood signs listing her wares instead.",Magoosh
coax,to gently persuade or influence to do something,verb,The kittens were shy and distrustful; even a big piece of fish on the floor couldn't coax them out from their hiding place behind the couch.,Magoosh
forage,to move around in search for food,verb,"Raccoons are experts at foraging for food: they can find scraps at a campground, under the seats at a ball stadium, or anywhere humans create trash.",Magoosh
adverse,making success more difficult,adjective,"They were planning on pouring concrete for the building's foundation this week, but due to the rain, the conditions are too adverse to do so.",Magoosh
erratic,often changing suddenly and unpredictably,adjective,"The wild, sudden turns of the car led the police officer to investigate; when asked about his erratic driving, the driver had no explanation.",Magoosh
juxtapose,to show contrast by placing two things next to each other,verb,"My car is still new, but it looks cheap in this parking lot, juxtaposed with so many luxury cars.",Magoosh
fable,a traditional story that teaches a lesson,noun,"Grandma's fables always had very specific lessons; my favorites were ""The elf that always left the toilet seat up"" and ""the fairy that chatted on Facebook instead of getting Granny a glass of water.""",Magoosh
deplete,use all of (used especially for natural resources),verb,"The soldiers had carelessly depleted all of their resources, during the summer, leaving little food for the oncoming winter.",Magoosh
verge,"the time when an event will happen very soon (as ""on the verge of"")",noun,I was on the verge of throwing my unresponsive computer out the window when I realized the battery was simply dead.,Magoosh
wary,"cautious, not trusting",adjective,Years of being stuck in the loud and crowded shelter made the dog wary of other animals.,Magoosh
gaudy,too colorful and overly decorated,adjective,"Karen knew the bright pink, skin-tight suit was gaudy, but she had promised her five-year old son that he could pick her clothing for the party.",Magoosh
adept,skilled in a specific ability,adjective,"After many years of practice and repetition, the sculptor was adept at carving perfect representations of the human body in stone.",Magoosh
seep,to flow slowly through something with many small holes,verb,Some people are worried that new methods of natural gas extraction from the earth cause toxic chemicals to seep into the water underground.,Magoosh
telling,showing the truth (used for a story or piece of information),adjective,"When I asked William if he still loved me, he didn't say ""no,"" but his silence was telling.",Magoosh
pressing,important immediately,adjective,"It was six in the morning and she still hadn't finished the essay that was due at eight; but after working all night, her most pressing need was a cup of coffee.",Magoosh
sever,to cut off from a whole,verb,"With one strong swing of a heavy axe, the head of the fallen king was severed, and the people were free.",Magoosh
haphazard,not done well and done quickly without planning,adjective,"As there were no building materials readily available after the storm, victims built haphazard shelters from whatever they could find.",Magoosh
advent,the time when a big change started or arrived,noun,The advent of the Internet was a major event in human history—never before could people search for and find information so easily.,Magoosh
tactful,careful not to do things that hurt or anger other people,adjective,Arriving in a new country can be difficult for even the most tactful person; customs that are ordinary in one country may be offensive in others.,Magoosh
minute,extremely small,adjective,"Unfortunately for her students, the professor noticed even the most minute mistakes in essays that she graded.",Magoosh
torrent,an extremely heavy rain,noun,The torrent of rain that accompanied the typhoon dumped several metres of water on the city over the course of the week.,Magoosh
avert,to turn away from or prevent,verb,"After heavy rain this winter, water was released from Lake Shasta to avert flooding.",Magoosh
arid,"dry, without rain",adjective,"Due to years of little rainfall in California, lakes are dry, rivers are empty, and forests are arid.",Magoosh
ornate,heavily decorated in small detail,adjective,The statues on the church wall are highly ornate: it took the artist years to carve the tiny details.,Magoosh
quaint,attractive and old-fashioned (used especially for places or traditions),adjective,"As Mary walked through the quaint little village with old-fashioned cottages and stone streets, she felt that she had gone back in time.",Magoosh
sound,"logical and understandable, without errors",adjective,"After several months of careful investigation, the committee decided that its conclusions were clear and sound enough to report to the public.",Magoosh
undergo,experience a difficult change or process,verb,"Aiko's school had undergone a quick but detailed renovation, making it disturbingly unfamiliar to her when she returned after only a few weeks away.",Magoosh
elusive,"difficult to find, catch, or achieve",adjective,Many birdwatchers enjoy tracking highly elusive species because the reward of actually seeing a rare bird is so great.,Magoosh
drought,a long time with not enough rain,noun,"The drought left the landscape dry and lifeless; it had not rained in months, and even the river that the town depended on for water had dried up.",Magoosh
wither,dry out and die (used for plants),verb,"After two weeks on vacation, the family returned to find that their plants had withered from sitting in the sun and not receiving enough water.",Magoosh
indignant,angered at something unjust or wrong,adjective,Geoffrey was indignant after the same driver got in front of him then slowed down for the third time.,Magoosh
innocuous,not harmful,adjective,I thought Jim's comment about how much salt I'd put on my food were innocuous until I realized he was criticizing my health choices.,Magoosh
levy,to use government authority to demand payment,verb,"In an effort to grow his support among the rich, the newly crowned king put an end to taxes that his father had previously levied on merchants.",Magoosh
paramount,of the highest importance,adjective,"Although we want the mission to send a man to Mars to succeed, the lives and safety of the astronauts are paramount.",Magoosh
banish,to send (a person) away permanently in punishment,verb,"When my parents banished my boyfriend Mitchell from our house, he wasn't even allowed on the front lawn: he had to stay as far away as possible.",Magoosh
fuse,combine into one,verb,"The two cities of Buda and Pest were separate for centuries, but in the nineteenth century they fused to become Budapest.",Magoosh
cope,"to manage a difficult situation, especially emotionally",verb,"If we could teach children how to cope with difficult situations, they might have better emotional stability throughout their lives.",Magoosh
prose,"writing made of normal sentences, not a poem",noun,"Don Quixote is often called ""the first modern novel"" in European literature, largely because it was one of the first stories written in prose.",Magoosh
adorn,to add decoration and detail to make more beautiful,verb,"Late last night, somebody painted cat faces on all the statues that adorn our town's government buildings.",Magoosh
disingenuous,dishonest or not giving the whole truth,adjective,"The public could not trust their disingenuous leader, as he was infamous for avoiding direct answers to question in every interview.",Magoosh
salvage,to save something from the destruction of everything around it,verb,"In order to keep costs down in repairing his car, Stephen salvaged old parts from a local junkyard.",Magoosh
remote,far away,adjective,"McMurdo station, an American research facility in Antarctica, is one of the world's most remote settlements.",Magoosh
murky,dark or cloudy and hard to see through,adjective,The dirt and debris from the landslide went down the river and turned the previously clear lake a murky brown.,Magoosh
retract,to pull back,verb,My pet snail hates me! Every time I try to touch him he retracts his head.,Magoosh
foremost,highest in rank or importance,adjective,"Regardless of what people think of Michael Jackson today, he was one of the foremost musicians of his time.",Magoosh
mushroom,to grow or spread extremely quickly,verb,"Since the invention of the smartphone, internet access across the world has mushroomed.",Magoosh
incessant,happening often without stopping (used for bad things),adjective,"Now that they are building a skyscraper next door, the sound of construction is incessant and impossible to escape.",Magoosh
inexorable,impossible to stop,adjective,"As summer nears its end, brown bears eat as much as possible to prepare for the inexorable coming of winter.",Magoosh
forthcoming,"ready or helpful when needed (used with ""not"" to describe problems)",adjective,"Although our education system is suffering badly from a lack of money, help from the government hasn't been forthcoming.",Magoosh
involved,"very complicated, with many parts (used for abstract things)",adjective,Katie was surprised that the process for learning how to code was not nearly as involved as she had anticipated.,Magoosh
eerie,mysterious and scary,adjective,"As Joel walked through the haunted house, the eerie music made him even more scared than he already was.",Magoosh
spearhead,to lead a change,verb,"After volunteering at a homeless shelter, I decided to spearhead a volunteer program at my office to get more of my coworkers involved.",Magoosh
facet,one side or aspect (used for abstract things),noun,"After two years of living abroad, Mario decided that he missed some facets of American food culture, including the variety of restaurant types.",Magoosh
qualify,to clarify by making less general,verb,"Patrick qualified his love for San Francisco, adding that he didn't like the weather as much as the weather in Los Angeles.",Magoosh
thaw,to melt slowly after a temperature change,verb,"The ice cream was really hard to scoop, so I left it on the counter to thaw for 30 minutes.",Magoosh
spawn,"to produce eggs (used for fish, frogs, etc.)",verb,"Salmon begin their lives in streams, then swim out to the ocean to spend their lives, but return to the same streams to spawn.",Magoosh
peril,serious danger,noun,"Politicians who warn about the great perils we face from other countries will always get attention, even when their warnings aren't based on facts.",Magoosh
dismal,"depressing, hopeless; very bad",adjective,"The month after I lost my job was dismal; I couldn't find work, so I was afraid of not being able to pay rent or buy food.",Magoosh
raze,to completely destroy (used for buildings),verb,"The armies of the north poured quickly into the south, stealing food and valuables, setting fires to homes, and razing entire towns.",Magoosh
endow,to give abilities to,verb,"The author James Joyce endowed the character Leopold Bloom with patience, humility, and tolerance.",Magoosh
exacerbate,to make worse,verb,"The soccer field is already muddy and unfit for play, and another few days of rain will exacerbate the problem even further.",Magoosh
uphold,to keep a tradition,verb,"Thousands of years after the earth was first proved to be a sphere, some groups today uphold the belief that our planet is actually flat.",Magoosh
notwithstanding,in spite of,preposition,"High prices notwithstanding, over 70 million iPhones were sold in the last three months.",Magoosh
adhere,to stick to and not come off,verb,"A fly's feet adhere to most surfaces, giving it the ability to walk upside-down on a ceiling.",Magoosh
aroma,an enjoyable smell,noun,"As the pie came out of the oven, the aroma of baked apples filled the room.",Magoosh
grueling,extremely difficult and tiring,adjective,"When my father turned 60, he took a surprising interest in grueling races, sometimes running 150 kilometers in the summer heat.",Magoosh
hurl,to throw forcefully,verb,"Most people simply drop their pennies in the wishing well, but Jim would insist on hurling his coins into the well, producing a big splash.",Magoosh
knack,a natural ability for a specific skill,noun,"I have a knack for remembering faces, but I have a lot of trouble remembering names.",Magoosh
bombard,to attack without pausing,verb,"Early in World War II, the US rarely attacked Japan's home islands, but after the fall of Okinawa, the Air Force bombarded Japan for months.",Magoosh
audacious,willing to be bold in social situations or to take risks,adjective,"In my first week of teaching preschool, one especially audacious child tried to cut my hair without even asking.",Magoosh
apex,the highest point,noun,"Top athletes in most sports hit the apexes of their careers in their 20s or early 30s, after which health becomes harder to maintain.",Magoosh
trappings,the visual objects and signs associated with a position or status,noun,"After receiving a meat thermometer as a gift, I realized I was becoming surrounded by the trappings of adulthood.",Magoosh
lucid,easy to understand; from clear thinking,adjective,"My physics teacher made complex models easy to understand by explaining them with lucid, concrete examples that we could relate to.",Magoosh
barter,to trade in a system that doesn't use money,verb,"Because she couldn't afford my tutoring prices, she suggested bartering: she gave me an hour massage for each hour of tutoring.",Magoosh
catalyst,something that starts or speeds up an event,noun,"The death of Archduke Franz Ferdinand, the man who was next in line to rule the Austro-Hungarian Empire, was the catalyst for World War I.",Magoosh
depress,to press down; to cause to drop,verb,"A rise in unemployment typically depresses the stock market, because few want to invest in companies that cannot employ people.",Magoosh
dubious,suspicious and possibly wrong,adjective,I saw a carton of milk with an expiration date so dubious I decided to buy it for fun: it has a date one year from today printed on it.,Magoosh
supplant,replace someone or something that doesn't fill a role anymore,verb,"As researchers build better robots, we should worry about being supplanted by machines that can do the same things we are paid to do.",Magoosh
hazy,unclear,adjective,A typical ten-year-old has only a hazy idea of how to manage money and how important it is to do so.,Magoosh
lurk,to hide when preparing to attack,verb,"Toshio sat quietly in his small boat, terrified of the crocodiles that lurked in the water below.",Magoosh
dwindle,to become much less or many fewer,verb,"Due to repeated overfishing, the numbers of snow crabs have severely dwindled in recent years.",Magoosh
fleeting,lasting for a very short time,adjective,"Roller coasters are thrilling, but the experience is fleeting; most rides take under 90 seconds to complete.",Magoosh
vessel,a container,noun,"Two-thousand-year-old pots found in Iraq, known as ""Baghdad batteries,"" were probably not actually batteries but instead vessels for important texts.",Magoosh
cull,to remove something unwanted from a group,verb,"Because we had 67 applications for the 20 positions on the committee, we began by culling all who clearly lacked even the minimum experience.",Magoosh
pretext,an untruthful reason given for an action,noun,"As the movie started, Karthik moved slowly closer to Sofia under the pretext of getting more comfortable in his seat.",Magoosh
cohesive,well combined into one whole,adjective,"A well-written, cohesive essay will keep on topic at all times, never losing sight of the main argument.",Magoosh
spur,to encourage or stimulate,verb,"In an unwise attempt to spur more intense conversation among his students, Professor Greene assigned a clearly racist text for reading.",Magoosh
crave,to want something badly and immediately,verb,"I enjoy coffee once in a while, but my friend craves it: he can't even imagine going a day without it!",Magoosh
trickle,to flow very slowly,verb,I watched the raindrop trickle down the car window as we sat stopped at a stoplight.,Magoosh
overlook,to fail to notice,verb,"Although she played perfectly throughout the game, Michelle was overlooked in the celebration of her volleyball team's victory.",Magoosh
morale,confidence and enthusiasm within a group of people,noun,The company morale at Yahoo has suffered because of the frequent changes of CEOs.,Magoosh
propulsion,a force pushing forward,noun,I've always been confused by the source of propulsion of giant cargo ships—how can they efficiently move so much weight?,Magoosh
savage,violent and uncontrolled,adjective,"Some see the great white shark as a savage animal with a thirst for blood, but as a biologist, I know they are only doing what they must to survive.",Magoosh
aggravating, making worse; annoying,adjective,,Barron
amusement, something that holds interest and is enjoyable,noun,,Barron
conceivably, feasibly; believable,adverb,,Barron
convert, to change from one form or state to another,verb,,Barron
curative, being able to restore to good condition,adjective,,Barron
debilitating, weakening,adjective,,Barron
finite, of a certain amount; having an end; not infinite,adjective,,Barron
security," the feeling of freedom from danger, doubt, or worry",noun,,Barron
toxic, harmful; capable of being fatal,adjective,,Barron
tranquility, calm; quietness,noun,,Barron
trap," to catch and hold onto, usually by trickery; deceived",verb,,Barron
undeniably, clearly true,adverb,,Barron
underestimated, guessed lower than the actual quality or quantity,adjective,,Barron
acknowledge," to know, remember, and accept the existence of something",verb,,Barron
assimilate, to become a part of,verb,,Barron
assortment, a variety,noun,,Barron
caliber, the standard of; the degree of goodness,noun,,Barron
condensed, made smaller; shortened; merged,adjective,,Barron
contradictory, not agreeing with the facts or previous statements made on the subject; declared wrong,adjective,,Barron
disregard, to pay no attention,verb,,Barron
precious, having much monetary or sentimental value; beautiful,adjective,,Barron
prominent, famous; having a high position,adjective,,Barron
requisite, needed for a specific purpose,adjective,,Barron
unravel, to organize; to make clear,verb,,Barron
vague, not clear; ambiguous,adjective,,Barron
volume, the amount of something contained in a space,noun,,Barron
charisma, a special quality that endears other people to the person who has this quality,noun,,Barron
clever, intelligent; resourceful,adjective,,Barron
convince, to make someone see things your way,verb,,Barron
forfeit," to give up; to have something taken away, usually by rule or regulation",verb,,Barron
precarious," not safe, firm, or steady",adjective,,Barron
severe, extreme; harmful,adjective,,Barron
sporadic, not consistent; irregular,adjective,,Barron
superior, excellent quality; above all the rest,adjective,,Barron
wanton, done without thought or consideration,adjective,,Barron
weak, not strong; incapable,adjective,,Barron
wisdom, knowledge and understanding,noun,,Barron
witticism, a joke; a funny story,noun,,Barron
woo, to make efforts to attain or gain something,verb,,Barron
briefly," short, usually in time",adverb,,Barron
circulate, to cause to move along a fixed path; to move freely,verb,,Barron
consistently," without changing; keeping the same principles, ideas, or quality",adverb,,Barron
exhibit, to show or demonstrate,verb,,Barron
found," to establish, start up",verb,,Barron
improperly, not following established rules; not desirable,adverb,,Barron
impulsively, acting without thinking,adverb,,Barron
infrequently, almost never,adjective,,Barron
isolated, kept separated from others,adjective,,Barron
overtly, in a way clearly seen; not done secretly,adverb,,Barron
profoundly, in a deep way; showing deep knowledge of a subject,adverb,,Barron
sharply, showing sensitivity or quick thinking; showing a quick change in direction,adverb,,Barron
situated, being found in a certain place,adjective,,Barron
subsequently, following; coming after something,adverb,,Barron
unmistakable, clearly able to be determined,adjective,,Barron
chaotic, being in complete disorder and confusion,adjective,,Barron
characteristic, an easily recognized quality of something,adjective,,Barron
exemplify, to give an example,verb,,Barron
gratifying, giving pleasure or a feeling of accomplishment; showing thanks,adjective,,Barron
launch, to cause something to begin,verb,,Barron
legitimate," reasonable, lawful",adjective,,Barron
particular, a certain way or thing; unusual; hard to please,adjective,,Barron
radiant," sending out in all directions, especially heat or light",adjective,,Barron
ridge, the top of a mountain range; a raised part of any surface,noun,,Barron
span, the length of time or distance from one limit to the other; to cross,verb,,Barron
spontaneous, unplanned; uncontrolled,adjective,,Barron
stream, a natural flow of something; a pouring out,noun,,Barron
aptly, having a tendency to do something; likely,adverb,,Barron
demonstration, a show or exhibit,noun,,Barron
ingredients, things combined to make something; the contents of something,noun,,Barron
involuntarily, in an unthinking manner; not chosen,adverb,,Barron
marvel, something that surprises or impresses,noun,,Barron
measurable, able to determine how much or how many,adjective,,Barron
moderate," not too much, not too little",adjective,,Barron
odd, unusual,adjective,,Barron
reflection, a picture or element cast back,noun,,Barron
supposedly, according to reports or hearsay; widely believed or accepted,adverb,,Barron
sustained, continuing in a constant way; remaining strong,adjective,,Barron
symbols, a sign or object that represents something or somebody marks,noun,,Barron
synthesis, the mixing of separate things to form a whole,noun,,Barron
tangible, real; that which can be felt,adjective,,Barron
tightly, being fixed in place; close; leaving no freedom,adverb,,Barron
affordable," able to be done, usually refers to something you can do without damage or loss v",article,,Barron
contaminated, to make something impure by adding something dirty or a poisonous substance n v,article,,Barron
discernible, noticeable; easily seen n v av,article,,Barron
flourishing, active and growing; healthy v,article,,Barron
mediorce, of average quality; not good or bad n,article,,Barron
negligible, hardly noticeable; scarcelt detectable; to ignore; to give little attention n2 a3 av,article,,Barron
parallel, being almost of the same type or time; comparable a=v,article,,Barron
peculiar, unusual; uncommon n av,article,,Barron
remarkable, worthy of mention; uncommon,article,,Barron
scattered, to be spread out or separated widely v,article,,Barron
solid," having good quality, being well made; firm; not a gas or liquid n v",article,,Barron
somewhat, a little,article,,Barron
approximately, almost correct; not exact n v=a,adverb,,Barron
formidable, difficult; causing worry or fear,article,,Barron
intrusive, the state of being inside when not desired to be there by others n2 v av,article,,Barron
periodic,"occuring at specific, determind period of time",article,,Barron
prone, likely to do something,article,,Barron
prophetic, correctly telling about future events n2 v av,article,,Barron
proportions, the relationship of size or importance when compared to another object or person a2 (--> av2),noun,,Barron
reliably, in a trusted way n2 v a2,adverb,,Barron
reluctantly, unwillingly n a,adverb,,Barron
renown, fame,noun,,Barron
triumph, a victory; a success v=n a2,noun,,Barron
revive, to restore to life or bring back into memory,verb,,Barron
account," a report of an event; money kept in a bank; a statement of something used or received, usually a financial report n2 v a",noun,,Barron
archaic," very old, old-fashioned, no longer used",article,,Barron
hasten, to cause to go faster; move forward more quickly n a av,verb,,Barron
inactive, not moving; not involved n2,article,,Barron
intricate, having many parts; finely detailed n av,article,,Barron
magnitude, of great size or importance n v a av,noun,,Barron
oblige, to have to do sth n a2 av,verb,,Barron
poll, questionnaire; a vote of public opinion n2,noun,,Barron
practical, convenient or effective n,article,,Barron
prompt, to cause something to happen; to do quickly; to be on time n av,verb,,Barron
enlighten, to give information or understanding to someone,verb,,Barron
provoke, to cause or produce negative behavior,verb,,Barron
motion, the state of changing one's position,noun,,Barron
partisan, strongly supporting a group or point of view,article,,Barron
pattern," a regular, repeated arrangement or action",noun,,Barron
phenomena, natural events or facts; strange or notable n pl a,noun,,Barron
philanthropic," a feeling of love for people, usually resulting in financial aid to worthy causes n2",article,,Barron
placid," quiet, not easy upset",article,,Barron
plentiful, more than sufficient,article,,Barron
reaction, a reply; a change that occurs when substances are mixed,noun,,Barron
rhythm," a regular pattern, usually in music a av",noun,,Barron
scenic, concerning pleasant natural surroundings n2 av,article,,Barron
sheltered, protected from harmful elements; isolated from reality n=v,article,,Barron
vanishing, going out of sight,adjective,,Barron
shallow, not far from top to bottom,adjective,,Barron
gather, to collect,verb,,Barron
accentuate," to highlight, to give more importance to",verb,,Barron
disguise, to hide the usual appearance of something (n=v) a,verb,,Barron
initiate, to begin; to establish; to take decisive action without help n2 a,verb,,Barron
innovative, something newly introduced; creative,article,,Barron
narrate, to tell a story; relate n3 a=n,verb,,Barron
omit," to leave out, not include n a",verb,,Barron
outlandish, strange and unpleasant; beyond accepted norms,article,,Barron
partially, a part of the whole; incomplete a av2,adverb,,Barron
pass, to accept formally by vote n a,verb,,Barron
portray, to represent; to act n,verb,,Barron
streamline, to update; to make more efficient or concise,verb,,Barron
obselete, being old fashioned; no longer in general use,adverb,,Barron
indifferent, being uninterested or not caring about something,adjective,,Barron
varied, being of many different types n4 v a2 av,article,,Barron
unbiased, with no preconceptions,article,,Barron
suspect," to think that sth is true, but having no proof n=v n a",verb,,Barron
relate," to tell, to show a connection between two things n2 a",verb,,Barron
opposition, the state of acting against; not being in agreement v a2,noun,,Barron
novel,"sth unusual, uncommon; new",article,,Barron
normally," commonly, usually n2 v a",adverb,,Barron
investigation, a careful examination in order to determine facts n a,noun,,Barron
fabricate," to make up, usually with an intent to fool or trick; to lie n a",verb,,Barron
antiquated, too old to be presently useful; outmoded n,article,,Barron
evolve, to grow; to go through a period of change,verb,,Barron
transform, to change in form or appearance,verb,,Barron
absurd," clearly false, without reason n av",article,,Barron
allocation, a share; a part set aside for a special purpose; an assignment of portions v a,noun,,Barron
balanced, a state where everything is of the same size or weight,article,,Barron
fallacious, having errors n,article,,Barron
lack, a need for; an insufficient amount,noun,,Barron
limber," to be stretched, easily shaped",article,,Barron
means, ways,noun,,Barron
narrow, small from one side to the other; limited n,article,,Barron
preconception, an opinion formed in advance without experience or knowledge of something v a,noun,,Barron
steady," firm, reliable, dependable n",article,,Barron
swift, quick n,article,,Barron
presumably," reported, but not confirmed n v a",adverb,,Barron
nominal," very small; in form, but not in substance",article,,Barron
inundate, to flood n,verb,,Barron
intentionally, with define purpose and planning n,adverb,,Barron
instantly, happening immediately; in a short period of time n a,adverb,,Barron
inordinate, a large amount or quantity; more than reasonable,article,,Barron
gradually," slowly, but surely",adverb,,Barron
documented, proven with written evidence n v a,article,,Barron
discreetly," in a careful, polite manner a",adverb,,Barron
delighted, to be satisfied; very happy n a,article,,Barron
confidential, to be said or written in recret n v,article,,Barron
agitate, to shake or move; to cause worry,verb,,Barron
conscientious, showing serious purpose; one who works carefully and with enthusiasm,article,,Barron
encompass, to surround completely; to envelop,verb,,Barron
expansion, the act of making larger v a,noun,,Barron
inadvertently, by accident; without paying attention; unexpectedly,adverb,,Barron
inevitable, sth that cannot be prevented from happening n av,article,,Barron
infancy, in the beginning stages of development n a,noun,,Barron
systematically, done according to a plan a,adverb,,Barron
unlikely, not probable,article,,Barron
unwarranted, without good reason or cause; inappropriate,article,,Barron
zenith, the highest point,noun,,Barron
heighten, to cause to become greater n a,verb,,Barron
retrieve, to find and bring back n a,verb,,Barron
come across," to find or discover, usually by chance or mistake",verb,,Barron
mimic, to copy an action,verb,,Barron
highlight, to emphasize the part of a greater whole,verb,,Barron
evoke, to call up or produce memories or feelings; to cause to remember,verb,,Barron
crucial, of great importance; extremely necessary,adjective,,Barron
dignitary," a very important or famous person, usually associated with a high position in government",noun,,Barron
exhaust, to use completely; to expend all energy; very thorough,verb,,Barron
extensive, large in area or number; to offer; to make longer,adjective,,Barron
face, to be in the presence of and oppose,verb,,Barron
idol, a person or image that is loyally admired or respected,noun,,Barron
oblivious, to be unaware of or forgetful,adjective,,Barron
obviously," in a clear, easy-to-understand way",adverb,,Barron
offensive, causing anger; rude; being unpleasant,adjective,,Barron
predictably, in a way that foretells future events,adverb,,Barron
suitable, appropriate; correct; convenient,adjective,,Barron
